adcode,name,lng,lat
100000,中华人民共和国,116.3683244,39.915085
110000,北京市,116.405285,39.904989
120000,天津市,117.190182,39.125596
130000,河北省,114.502461,38.045474
140000,山西省,112.549248,37.857014
150000,内蒙古自治区,111.670801,40.818311
210000,辽宁省,123.429096,41.796767
220000,吉林省,125.3245,43.886841
230000,黑龙江省,126.642464,45.756967
310000,上海市,121.472644,31.231706
320000,江苏省,118.767413,32.041544
330000,浙江省,120.153576,30.287459
340000,安徽省,117.283042,31.86119
350000,福建省,119.306239,26.075302
360000,江西省,115.892151,28.676493
370000,山东省,117.000923,36.675807
410000,河南省,113.665412,34.757975
420000,湖北省,114.298572,30.584355
430000,湖南省,112.982279,28.19409
440000,广东省,113.280637,23.125178
450000,广西壮族自治区,108.320004,22.82402
460000,海南省,110.33119,20.031971
500000,重庆市,106.504962,29.533155
510000,四川省,104.065735,30.659462
520000,贵州省,106.713478,26.578343
530000,云南省,102.712251,25.040609
540000,西藏自治区,91.132212,29.660361
610000,陕西省,108.948024,34.263161
620000,甘肃省,103.823557,36.058039
630000,青海省,101.778916,36.623178
640000,宁夏回族自治区,106.278179,38.46637
650000,新疆维吾尔自治区,87.617733,43.792818
710000,台湾省,121.509062,25.044332
810000,香港特别行政区,114.173355,22.320048
820000,澳门特别行政区,113.54909,22.198951
110000,北京市,116.405285,39.904989
110100,北京市市辖区,116.405285,39.904989
110101,东城区,116.418757,39.917544
110102,西城区,116.366794,39.915309
110105,朝阳区,116.486409,39.921489
110106,丰台区,116.286968,39.863642
110107,石景山区,116.195445,39.914601
110108,海淀区,116.310316,39.956074
110109,门头沟区,116.105381,39.937183
110111,房山区,116.139157,39.735535
110112,通州区,116.658603,39.902486
110113,顺义区,116.653525,40.128936
110114,昌平区,116.235906,40.218085
110115,大兴区,116.338033,39.728908
110116,怀柔区,116.637122,40.324272
110117,平谷区,117.112335,40.144783
110228,密云区,116.843352,40.377362
110229,延庆区,115.985006,40.465325
110100,北京市市辖区,116.405285,39.904989
110101,东城区,116.418757,39.917544
110102,西城区,116.366794,39.915309
110105,朝阳区,116.486409,39.921489
110106,丰台区,116.286968,39.863642
110107,石景山区,116.195445,39.914601
110108,海淀区,116.310316,39.956074
110109,门头沟区,116.105381,39.937183
110111,房山区,116.139157,39.735535
110112,通州区,116.658603,39.902486
110113,顺义区,116.653525,40.128936
110114,昌平区,116.235906,40.218085
110115,大兴区,116.338033,39.728908
110116,怀柔区,116.637122,40.324272
110117,平谷区,117.112335,40.144783
110228,密云区,116.843352,40.377362
110229,延庆区,115.985006,40.465325
120000,天津市,117.190182,39.125596
120100,天津市市辖区,117.190182,39.125596
120101,和平区,117.195907,39.118327
120102,河东区,117.226568,39.122125
120103,河西区,117.217536,39.101897
120104,南开区,117.164143,39.120474
120105,河北区,117.201569,39.156632
120106,红桥区,117.163301,39.175066
120110,东丽区,117.313967,39.087764
120111,西青区,117.012247,39.139446
120112,津南区,117.382549,38.989577
120113,北辰区,117.13482,39.225555
120114,武清区,117.057959,39.376925
120115,宝坻区,117.308094,39.716965
120116,滨海新区,117.654173,39.032846
120200,天津市郊县,117.824898,39.330613
120225,蓟县,117.407449,40.045342
120100,天津市市辖区,117.190182,39.125596
120101,和平区,117.195907,39.118327
120102,河东区,117.226568,39.122125
120103,河西区,117.217536,39.101897
120104,南开区,117.164143,39.120474
120105,河北区,117.201569,39.156632
120106,红桥区,117.163301,39.175066
120110,东丽区,117.313967,39.087764
120111,西青区,117.012247,39.139446
120112,津南区,117.382549,38.989577
120113,北辰区,117.13482,39.225555
120114,武清区,117.057959,39.376925
120115,宝坻区,117.308094,39.716965
120116,滨海新区,117.654173,39.032846
120200,天津市郊县,117.824898,39.330613
120225,蓟县,117.407449,40.045342
130000,河北省,114.502461,38.045474
130100,石家庄市,114.502461,38.045474
130200,唐山市,118.175393,39.635113
130300,秦皇岛市,119.586579,39.942531
130400,邯郸市,114.490686,36.612273
130500,邢台市,114.508851,37.0682
130600,保定市,115.482331,38.867657
130700,张家口市,114.884091,40.811901
130800,承德市,117.939152,40.976204
130900,沧州市,116.857461,38.310582
131000,廊坊市,116.704441,39.523927
131100,衡水市,115.665993,37.735097
130100,石家庄市,114.502461,38.045474
130102,长安区,114.548151,38.047501
130104,桥西区,114.462931,38.028383
130105,新华区,114.465974,38.067142
130107,井陉矿区,114.058178,38.069748
130108,裕华区,114.533257,38.027696
130109,藁城区,114.849647,38.033767
130110,鹿泉区,114.321023,38.093994
130111,栾城区,114.654281,37.886911
130121,井陉县,114.144488,38.033614
130123,正定县,114.569887,38.147835
130125,行唐县,114.552734,38.437422
130126,灵寿县,114.37946,38.306546
130127,高邑县,114.610699,37.605714
130128,深泽县,115.200207,38.18454
130129,赞皇县,114.387756,37.660199
130130,无极县,114.977845,38.176376
130131,平山县,114.184144,38.259311
130132,元氏县,114.52618,37.762514
130133,赵县,114.775362,37.754341
130181,辛集市,115.217451,37.92904
130183,晋州市,115.044886,38.027478
130184,新乐市,114.68578,38.344768
130200,唐山市,118.175393,39.635113
130202,路南区,118.210821,39.615162
130203,路北区,118.174736,39.628538
130204,古冶区,118.45429,39.715736
130205,开平区,118.264425,39.676171
130207,丰南区,118.110793,39.56303
130208,丰润区,118.155779,39.831363
130209,曹妃甸区,118.446585,39.278277
130223,滦县,118.699547,39.744851
130224,滦南县,118.681552,39.506201
130225,乐亭县,118.905341,39.42813
130227,迁西县,118.305139,40.146238
130229,玉田县,117.753665,39.887323
130281,遵化市,117.965875,40.188616
130283,迁安市,118.701933,40.012108
130300,秦皇岛市,119.586579,39.942531
130302,海港区,119.596224,39.943458
130303,山海关区,119.753591,39.998023
130304,北戴河区,119.486286,39.825121
130321,青龙满族自治县,118.954555,40.406023
130322,昌黎县,119.164541,39.709729
130324,卢龙县,118.881809,39.891639
130400,邯郸市,114.490686,36.612273
130402,邯山区,114.484989,36.603196
130403,丛台区,114.494703,36.611082
130404,复兴区,114.458242,36.615484
130406,峰峰矿区,114.209936,36.420487
130421,邯郸县,114.531083,36.593905
130423,临漳县,114.610703,36.337604
130424,成安县,114.680356,36.443832
130425,大名县,115.152586,36.283316
130426,涉县,113.673297,36.563143
130427,磁县,114.38208,36.367673
130428,肥乡县,114.805154,36.555778
130429,永年县,114.496162,36.776413
130430,邱县,115.168584,36.81325
130431,鸡泽县,114.878517,36.914908
130432,广平县,114.950859,36.483603
130433,馆陶县,115.289057,36.539461
130434,魏县,114.93411,36.354248
130435,曲周县,114.957588,36.773398
130481,武安市,114.194581,36.696115
130500,邢台市,114.508851,37.0682
130502,桥东区,114.507131,37.064125
130503,桥西区,114.473687,37.068009
130521,邢台县,114.561132,37.05073
130522,临城县,114.506873,37.444009
130523,内丘县,114.511523,37.287663
130524,柏乡县,114.693382,37.483596
130525,隆尧县,114.776348,37.350925
130526,任县,114.684469,37.129952
130527,南和县,114.691377,37.003812
130528,宁晋县,114.921027,37.618956
130529,巨鹿县,115.038782,37.21768
130530,新河县,115.247537,37.526216
130531,广宗县,115.142797,37.075548
130532,平乡县,115.029218,37.069404
130533,威县,115.272749,36.983272
130534,清河县,115.668999,37.059991
130535,临西县,115.498684,36.8642
130581,南宫市,115.398102,37.359668
130582,沙河市,114.504902,36.861903
130600,保定市,115.482331,38.867657
130602,竞秀区,115.470659,38.88662
130623,涞水县,115.711985,39.393148
130624,阜平县,114.198801,38.847276
130626,定兴县,115.796895,39.266195
130627,唐县,114.981241,38.748542
130628,高阳县,115.778878,38.690092
130629,容城县,115.866247,39.05282
130630,涞源县,114.692567,39.35755
130631,望都县,115.154009,38.707448
130632,安新县,115.931979,38.929912
130633,易县,115.501146,39.35297
130634,曲阳县,114.704055,38.619992
130635,蠡县,115.583631,38.496429
130636,顺平县,115.132749,38.845127
130637,博野县,115.461798,38.458271
130638,雄县,116.107474,38.990819
130681,涿州市,115.973409,39.485765
130682,定州市,114.991389,38.517602
130683,安国市,115.33141,38.421367
130684,高碑店市,115.882704,39.327689
130700,张家口市,114.884091,40.811901
130702,桥东区,114.885658,40.813875
130703,桥西区,114.882127,40.824385
130705,宣化区,115.0632,40.609368
130706,下花园区,115.281002,40.488645
130721,宣化县,115.03308,40.562211
130722,张北县,114.715951,41.151713
130723,康保县,114.615809,41.850046
130724,沽源县,115.684836,41.667419
130725,尚义县,113.977713,41.080091
130726,蔚县,114.582695,39.837181
130727,阳原县,114.167343,40.113419
130728,怀安县,114.422364,40.671274
130729,万全县,114.736131,40.765136
130730,怀来县,115.520846,40.405405
130731,涿鹿县,115.219246,40.378701
130732,赤城县,115.832708,40.912081
130733,崇礼县,115.281652,40.971302
130800,承德市,117.939152,40.976204
130802,双桥区,117.939152,40.976204
130803,双滦区,117.797485,40.959756
130804,鹰手营子矿区,117.661154,40.546956
130821,承德县,118.172496,40.768637
130822,兴隆县,117.507098,40.418525
130823,平泉县,118.690238,41.00561
130824,滦平县,117.337124,40.936644
130825,隆化县,117.736343,41.316667
130826,丰宁满族自治县,116.65121,41.209903
130827,宽城满族自治县,118.488642,40.607981
130828,围场满族蒙古族自治县,117.764086,41.949404
130900,沧州市,116.857461,38.310582
130902,新华区,116.873049,38.308273
130903,运河区,116.840063,38.307405
130921,沧县,117.007478,38.219856
130922,青县,116.838384,38.569646
130923,东光县,116.542062,37.88655
130924,海兴县,117.496606,38.141582
130925,盐山县,117.229814,38.056141
130926,肃宁县,115.835856,38.427102
130927,南皮县,116.709171,38.042439
130928,吴桥县,116.391512,37.628182
130929,献县,116.123844,38.189661
130930,孟村回族自治县,117.105104,38.057953
130981,泊头市,116.570163,38.073479
130982,任丘市,116.106764,38.706513
130983,黄骅市,117.343803,38.369238
130984,河间市,116.089452,38.44149
131000,廊坊市,116.704441,39.523927
131002,安次区,116.694544,39.502569
131003,广阳区,116.713708,39.521931
131022,固安县,116.299894,39.436468
131023,永清县,116.498089,39.319717
131024,香河县,117.007161,39.757212
131025,大城县,116.640735,38.699215
131026,文安县,116.460107,38.866801
131028,大厂回族自治县,116.986501,39.889266
131081,霸州市,116.392021,39.117331
131082,三河市,117.077018,39.982778
131100,衡水市,115.665993,37.735097
131102,桃城区,115.694945,37.732237
131121,枣强县,115.726499,37.511512
131122,武邑县,115.892415,37.803774
131123,武强县,115.970236,38.03698
131124,饶阳县,115.726577,38.232671
131125,安平县,115.519627,38.233511
131126,故城县,115.966747,37.350981
131127,景县,116.258446,37.686622
131128,阜城县,116.164727,37.869945
131181,冀州市,115.579173,37.542788
131182,深州市,115.554596,38.00347
140000,山西省,112.549248,37.857014
140100,太原市,112.549248,37.857014
140200,大同市,113.295259,40.09031
140300,阳泉市,113.583285,37.861188
140400,长治市,113.113556,36.191112
140500,晋城市,112.851274,35.497553
140600,朔州市,112.433387,39.331261
140700,晋中市,112.736465,37.696495
140800,运城市,111.003957,35.022778
140900,忻州市,112.733538,38.41769
141000,临汾市,111.517973,36.08415
141100,吕梁市,111.134335,37.524366
140100,太原市,112.549248,37.857014
140105,小店区,112.564273,37.817974
140106,迎泽区,112.558851,37.855804
140107,杏花岭区,112.560743,37.879291
140108,尖草坪区,112.487122,37.939893
140109,万柏林区,112.522258,37.862653
140110,晋源区,112.477849,37.715619
140121,清徐县,112.357961,37.60729
140122,阳曲县,112.673818,38.058797
140123,娄烦县,111.793798,38.066035
140181,古交市,112.174353,37.908534
140200,大同市,113.295259,40.09031
140202,城区,113.301438,40.090511
140203,矿区,113.168656,40.03626
140211,南郊区,113.16892,40.01802
140212,新荣区,113.141044,40.258269
140221,阳高县,113.749871,40.364927
140222,天镇县,114.09112,40.421336
140223,广灵县,114.279252,39.763051
140224,灵丘县,114.23576,39.438867
140225,浑源县,113.698091,39.699099
140226,左云县,112.70641,40.012873
140227,大同县,113.611306,40.039345
140300,阳泉市,113.583285,37.861188
140302,城区,113.586513,37.860938
140303,矿区,113.559066,37.870085
140311,郊区,113.58664,37.94096
140321,平定县,113.631049,37.800289
140322,盂县,113.41223,38.086131
140400,长治市,113.113556,36.191112
140402,城区,113.114107,36.187896
140411,郊区,113.101211,36.218388
140421,长治县,113.056679,36.052438
140423,襄垣县,113.050094,36.532854
140424,屯留县,112.892741,36.314072
140425,平顺县,113.438791,36.200202
140426,黎城县,113.387366,36.502971
140427,壶关县,113.206138,36.110938
140428,长子县,112.884656,36.119484
140429,武乡县,112.8653,36.834315
140430,沁县,112.70138,36.757123
140431,沁源县,112.340878,36.500777
140481,潞城市,113.223245,36.332233
140500,晋城市,112.851274,35.497553
140502,城区,112.853106,35.496641
140521,沁水县,112.187213,35.689472
140522,阳城县,112.422014,35.482177
140524,陵川县,113.278877,35.775614
140525,泽州县,112.899137,35.617221
140581,高平市,112.930691,35.791355
140600,朔州市,112.433387,39.331261
140602,朔城区,112.428676,39.324525
140603,平鲁区,112.295227,39.515603
140621,山阴县,112.816396,39.52677
140622,应县,113.187505,39.559187
140623,右玉县,112.465588,39.988812
140624,怀仁县,113.100512,39.82079
140700,晋中市,112.736465,37.696495
140702,榆次区,112.740056,37.6976
140721,榆社县,112.973521,37.069019
140722,左权县,113.377834,37.079672
140723,和顺县,113.572919,37.327027
140724,昔阳县,113.706166,37.60437
140725,寿阳县,113.177708,37.891136
140726,太谷县,112.554103,37.424595
140727,祁县,112.330532,37.358739
140728,平遥县,112.174059,37.195474
140729,灵石县,111.772759,36.847469
140781,介休市,111.913857,37.027616
140800,运城市,111.003957,35.022778
140802,盐湖区,111.000627,35.025643
140821,临猗县,110.77493,35.141883
140822,万荣县,110.843561,35.417042
140823,闻喜县,111.220306,35.353839
140824,稷山县,110.978996,35.600412
140825,新绛县,111.225205,35.613697
140826,绛县,111.576182,35.49045
140827,垣曲县,111.67099,35.298293
140828,夏县,111.223174,35.140441
140829,平陆县,111.212377,34.837256
140830,芮城县,110.69114,34.694769
140881,永济市,110.447984,34.865125
140882,河津市,110.710268,35.59715
140900,忻州市,112.733538,38.41769
140902,忻府区,112.734112,38.417743
140921,定襄县,112.963231,38.484948
140922,五台县,113.259012,38.725711
140923,代县,112.962519,39.065138
140924,繁峙县,113.267707,39.188104
140925,宁武县,112.307936,39.001718
140926,静乐县,111.940231,38.355947
140927,神池县,112.200438,39.088467
140928,五寨县,111.841015,38.912761
140929,岢岚县,111.56981,38.705625
140930,河曲县,111.146609,39.381895
140931,保德县,111.085688,39.022576
140932,偏关县,111.500477,39.442153
140981,原平市,112.713132,38.729186
141000,临汾市,111.517973,36.08415
141002,尧都区,111.522945,36.080366
141021,曲沃县,111.475529,35.641387
141022,翼城县,111.713508,35.738621
141023,襄汾县,111.442932,35.876139
141024,洪洞县,111.673692,36.255742
141025,古县,111.920207,36.26855
141026,安泽县,112.251372,36.146032
141027,浮山县,111.850039,35.971359
141028,吉县,110.682853,36.099355
141029,乡宁县,110.857365,35.975402
141030,大宁县,110.751283,36.46383
141031,隰县,110.935809,36.692675
141032,永和县,110.631276,36.760614
141033,蒲县,111.09733,36.411682
141034,汾西县,111.563021,36.653368
141081,侯马市,111.371272,35.620302
141082,霍州市,111.723103,36.57202
141100,吕梁市,111.134335,37.524366
141102,离石区,111.134462,37.524037
141121,文水县,112.032595,37.436314
141122,交城县,112.159154,37.555155
141123,兴县,111.124816,38.464136
141124,临县,110.995963,37.960806
141125,柳林县,110.89613,37.431664
141126,石楼县,110.837119,36.999426
141127,岚县,111.671555,38.278654
141128,方山县,111.238885,37.892632
141129,中阳县,111.193319,37.342054
141130,交口县,111.183188,36.983068
141181,孝义市,111.781568,37.144474
141182,汾阳市,111.785273,37.267742
150000,内蒙古自治区,111.670801,40.818311
150100,呼和浩特市,111.670801,40.818311
150200,包头市,109.840405,40.658168
150300,乌海市,106.825563,39.673734
150400,赤峰市,118.956806,42.275317
150500,通辽市,122.263119,43.617429
150600,鄂尔多斯市,109.99029,39.817179
150700,呼伦贝尔市,119.758168,49.215333
150800,巴彦淖尔市,107.416959,40.757402
150900,乌兰察布市,113.114543,41.034126
152200,兴安盟,122.070317,46.076268
152500,锡林郭勒盟,116.090996,43.944018
152900,阿拉善盟,105.706422,38.844814
150100,呼和浩特市,111.670801,40.818311
150102,新城区,111.685964,40.826225
150103,回民区,111.662162,40.815149
150104,玉泉区,111.66543,40.799421
150105,赛罕区,111.698463,40.807834
150121,土默特左旗,111.133615,40.720416
150122,托克托县,111.197317,40.276729
150123,和林格尔县,111.824143,40.380288
150124,清水河县,111.67222,39.912479
150125,武川县,111.456563,41.094483
150200,包头市,109.840405,40.658168
150202,东河区,110.026895,40.587056
150203,昆都仑区,109.822932,40.661345
150204,青山区,109.880049,40.668558
150205,石拐区,110.272565,40.672094
150206,白云鄂博矿区,109.97016,41.769246
150207,九原区,109.968122,40.600581
150221,土默特右旗,110.526766,40.566434
150222,固阳县,110.063421,41.030004
150223,达尔罕茂明安联合旗,110.438452,41.702836
150300,乌海市,106.825563,39.673734
150302,海勃湾区,106.817762,39.673527
150303,海南区,106.884789,39.44153
150304,乌达区,106.722711,39.502288
150400,赤峰市,118.956806,42.275317
150402,红山区,118.961087,42.269732
150403,元宝山区,119.289877,42.041168
150404,松山区,118.938958,42.281046
150421,阿鲁科尔沁旗,120.094969,43.87877
150422,巴林左旗,119.391737,43.980715
150423,巴林右旗,118.678347,43.528963
150424,林西县,118.05775,43.605326
150425,克什克腾旗,117.542465,43.256233
150426,翁牛特旗,119.022619,42.937128
150428,喀喇沁旗,118.708572,41.92778
150429,宁城县,119.339242,41.598692
150430,敖汉旗,119.906486,42.287012
150500,通辽市,122.263119,43.617429
150502,科尔沁区,122.264042,43.617422
150521,科尔沁左翼中旗,123.313873,44.127166
150522,科尔沁左翼后旗,122.355155,42.954564
150523,开鲁县,121.308797,43.602432
150524,库伦旗,121.774886,42.734692
150525,奈曼旗,120.662543,42.84685
150526,扎鲁特旗,120.905275,44.555294
150581,霍林郭勒市,119.657862,45.532361
150600,鄂尔多斯市,109.99029,39.817179
150602,东胜区,109.98945,39.81788
150621,达拉特旗,110.040281,40.404076
150622,准格尔旗,111.238332,39.865221
150623,鄂托克前旗,107.48172,38.183257
150624,鄂托克旗,107.982604,39.095752
150625,杭锦旗,108.736324,39.831789
